Project:,Great Smoky Mountains Postcards Supplement,Lead:,Anne Bridges,Metadata creator:,TBD,Date:,7/1/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scan_note,local_note,adminDB object identifer,adminDB file identifier (side 1),adminDB file identifier (side 2),identifier_local,title,abstract,abstract 2,date_text,collection,collection_identifier,shelf_locator,extent,form,language,name,name_role,name 2,name_role 2,name 3,name_role 3,publisher,place_of_origin,subject_geographic_lc,subject_geographic_lc 2,subject_geographic_lc 3,subject_geographic_lc 4,subject_geographic_dots,subject_geographic_dots 2,subject_geographic_dots 3,subject_geographic_dots 4,subject_geographic_dots 5,subject_name,subject_name 2,subject_topical_lc,subject_topical_lc 2,subject_topical_lc 3,subject_topical_lc 4,subject_topical_dots,subject_topical_dots 2,subject_topical_dots 3,subject_topical_dots 4,project_title,repository,rights,public_note
,,,0012_003786_000010_0001,0012_003786_000010_0002,,"Gatlinburg, Tenn. (1-1-246)",Unused postcard,,Unknown,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,W. M. Cline Co.,Creator,Walter Cline,Photographer,,,W. M. Cline Co.,Chattanooga (Tenn.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,,,,,,,Tourism,,,,Tourism,,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000011_0001,0012_003786_000011_0002,,"Gatlinburg, Tenn. (1-1-247)",Unused postcard,,Unknown,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,W. M. Cline Co.,Creator,Walter Cline,Photographer,,,W. M. Cline Co.,Chattanooga (Tenn.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,,,,,,,Tourism,,,,Tourism,,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000012_0001,0012_003786_000012_0002,,"Homespun Valley Gatlinburg, Tennessee",Unused postcard,"An exhibit of mountain life including a steaming mountain still, pioneer museum, waterpowered grist mill, and other old-timey things traditional to the Great Smoky Mountains",Unknown,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,The Mountain Press,Creator,,,,,The Mountain Press,Gatlinburg (Tenn.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,,,,,,,Tourism,,,,Tourism,,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000013_0001,0012_003786_000013_0002,,"Gatlinburg's Street Card Gatlinburg, Tennessee","Postcard with a handwritten note sent to Chester Neal in Wirt, Indiana on September 16, 1939.",,1939,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,Orcajo Photo Art,Creator,,,,,Orcajo Photo Art,Dayton (Ohio),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,,,,,,,Tourism,,,,Tourism,,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000014_0001,0012_003786_000014_0002,,"Main Street - Gatlinburg, Tenn. (1-1-333)",Postcard signed by Ella Hilliard,,Unknown,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,W. M. Cline Co.,Creator,,,,,W. M. Cline Co.,Chattanooga (Tenn.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,,,,,,,Tourism,,,,Tourism,,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000015_0001,0012_003786_000015_0002,,"The Cliff Dwellers Gatlinburg, Tenn. (14635)",,"Visitors touring the Smokies should be sure to visit this unique and most attractive shop here will be found a most interesting display of artistic mountain crafts jewelry, pottery, weaving, etc. on display also are many paintings, etchings and drawings of the Smokies don't miss it you'll like it.",Unknown,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,Cline Publishing Studios,Creator,,,,,Cline Studios,Chattanooga (Tenn.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,,,,,,,Tourism,Crafts (Handicrafts),Weaving,Pottery,Tourism,Handicrafts,Weaving,Pottery,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000016_0001,0012_003786_000016_0002,,"Pi Beta Phi Arrow Craft Shop - Gatlinburg, Tenn.","Postcard with handwritten note to Mrs. M. Scudder Griffing in Richmond, Virginia sent February 15, 1950.",,1950,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,W. M. Cline Co.,Creator,,,,,W. M. Cline Co.,Chattanooga (Tenn.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,,,,,Pi Beta Phi Fraternity,,Tourism,,,,Tourism,,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000017_0001,0012_003786_000017_0002,,"The Wood Whittlers - Gatlinburg, Tenn. (1-1-68)",Unused postcard,,Unknown,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,W. M. Cline Co.,Creator,,,,,W. M. Cline Co.,Chattanooga (Tenn.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,,,,,,,Tourism,Crafts (Handicrafts),,,Tourism,Handicrafts,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000018_0001,0012_003786_000018_0002,,"Christus Biblical Gardens Gatlinburg, Tennessee","Handwitten note sent to Portsmouth Virginia on October 31, 1961 for a postage of 4 cents.",A Major Visitor Attraction of the Smokies: This majestic building of native unpolished marble houses the world's foremost depiction of the life of Christ in which many human-appearing life size characters seemingly have stepped right out of the Bible to be seen dramatically in large realistic scenes of the Holy Land. Open all year on the river road.  ,1961,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,W. M. Cline Co.,Creator,Gene Aiken,Photographer,,,W. M. Cline Co.,Chattanooga (Tenn.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,,,,,,,Tourism,,,,Tourism,,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000019_0001,0012_003786_000019_0002,,"Methodist Church, Gatlinburg, Tenn. (G-15)",Unused postcard,,Unknown,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,Asheville Post Card Co.,Creator,,,,,Asheville Post Card Co.,Asheville (N.C.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,,,,,,,Tourism,Churches,,,Tourism,Churches,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000020_0001,0012_003786_000020_0002,,"First Baptist Church, Gatlinburg, Tenn. (G-14)",Unused postcard,,Unknown,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,Asheville Post Card Co.,Creator,,,,,Asheville Post Card Co.,Asheville (N.C.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,,,,,,,Tourism,Churches,,,Tourism,Churches,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000021_0001,0012_003786_000021_0002,,"The Methodist Church, Gatlinburg, Tenn. (319)",Unused postcard,,Unknown,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,Standard Souvenirs & Novelties Inc.,Creator,,,,,Standard Souvenirs & Novelties Inc.,Knoxville (Tenn.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,,,,,,,Tourism,Churches,,,Tourism,Churches,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000022_0001,0012_003786_000022_0002,,"Sanctuary of the First Methodist Church Gatlinburg, Tennessee","Handwritten note dated May 5, 1959","Widely known as ""Host To The Nation,"" and every year thousands of people from every state in the Union visit ""The Little Cathedral In The Smokies."" Built of native stone and great red oak beams, and equipped with handmade furnishings, it is considered by many to be one of the most beautiful small churches in America. ",1956,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,W. M. Cline Co.,Creator,Frank Shannon,Photographer,,,W. M. Cline Co.,Chattanooga (Tenn.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,,,,,,,Tourism,Churches,,,Tourism,Churches,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000023_0001,0012_003786_000023_0002,,Gatlinburg Civil Auditorium,"Handwritten note to Mrs. A. R. Taylor in Battle Creek, Michigan sent on September 27, 1962 for a postage of 3 cents.","This modern auditorium, completed at a cost of over half a million dollars, has a seating capacity of 2000 persons, with a dining capacity of 1000.  Complete stage facilities, conference space and exhibit space are available for events of local and statewide interest such as the Fall Handicraft Fair.  ",1962,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,Tennessee Trucolor Inc.,Creator,,,,,Tennessee Trucolor Inc.,Gatlinburg (Tenn.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,,,,,,,Tourism,,,,Tourism,,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000024_0001,0012_003786_000024_0002,,Top O' The Lift View of Gatlinburg,"Handwritten note to Fred Bennetto Sr. in Hamden Connecticut sent June 5, 1964 for a postage of 4 cents.","To the visitor who rides to the top of the Sky Lift comes the scenic reward - the neat, quiet charm of Gatlinburg below and the rugged majesty of Mt. LeConte in the blue hazed distance.  ",1964,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,Tennessee Trucolor Inc.,Creator,,,,,Tennessee Trucolor Inc.,Gatlinburg (Tenn.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),"Le Conte, Mount (Tenn.)",,Gatlinburg,Mount Le Conte,,,,,,Tourism,,,,Tourism,,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000025_0001,0012_003786_000025_0002,,Looking Down on Gatlinburg Tennessee (GS-102),"Handwritten note to Mrs. Sadie Kennedy in S Easton, Massachusetts sent October 9, 1956 for a postage of 2 cents.","Looking down on Gatlinburg, Tennessee from the upper terminal of the Sky Lift at the upper right may be seen part of Mt. LeConte one of the best known peaks of the Great Smoky Mountains National Park. ",1956,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,W. M. Cline Co.,Creator,Walter Cline,Photographer,,,W. M. Cline Co.,Chattanooga (Tenn.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),"Le Conte, Mount (Tenn.)",,Gatlinburg,Mount Le Conte,,,,,,Tourism,,,,Tourism,,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000026_0001,0012_003786_000026_0002,,"Gatlinburg, Tennessee seen from the top of the Skylift (GS-286)",Unused postcard,"Mt. LeConte, one of the highest and best known peaks of the Smokies, may be seen at the left and Sugarland Mountain at the right.",1963,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,W. M. Cline Co.,Creator,Walter Cline,Photographer,,,W. M. Cline Co.,Chattanooga (Tenn.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),"Le Conte, Mount (Tenn.)",,Gatlinburg,Mount Le Conte,Sugarland Mountain,,,,,Tourism,,,,Tourism,,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000027_0001,0012_003786_000027_0002,,"Air View of Gatlinburg, Tennessee (GS-86)",Unused postcard,"Air view of Gatlinburg Tennessee, at the entrance to the Great Smoky Mountains National Park. Gatlinburg is the leading resort town in the Great Smoky Mountains National Park.",1956,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,W. M. Cline Co.,Creator,Walter Cline,Photographer,,,W. M. Cline Co.,Chattanooga (Tenn.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,,,,,,,Tourism,,,,Tourism,,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000028_0001,0012_003786_000028_0002,,"Gatlinburg, Tennessee and Mt. LeConte - Great Smoky Mountains National Park (GS-26)",Unused postcard,"This fine view shows part of the town of Gatlinburg nestled at the base of Mt. LeConte the ""Tallest"" Peak in Eastern America. Mt. LeConte towers over a mile above Gatlinburg reaching an altitude of 6593 feet above sea level.",1955,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,W. M. Cline Co.,Creator,Walter Cline,Photographer,,,W. M. Cline Co.,Chattanooga (Tenn.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),"Le Conte, Mount (Tenn.)",,Gatlinburg,Mount Le Conte,,,,,,Tourism,,,,Tourism,,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000029_0001,0012_003786_000029_0002,,"Gatlinburg, Tennessee and Mt. LeConte seen from the top of the Skylift (GS-116)",Unused Postcard,Mt. LeConte is one of the highest and best known peaks in the Great Smoky Mountains National Park.,1957,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,W. M. Cline Co.,Creator,Walter Cline,Photographer,,,W. M. Cline Co.,Chattanooga (Tenn.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),"Le Conte, Mount (Tenn.)",,Gatlinburg,Mount Le Conte,,,,,,Tourism,,,,Tourism,,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000030_0001,0012_003786_000030_0002,,Greetings from Gatlinburg Entrance to Great Smoky Mountains National Park,"Postcard with handwritten note sent to Lester Martin in Toledo, Ohio on October 12, 1941 for a postage of 2 cents.",,1941,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,Curt Teich & Co. Inc.,Creator,,,,,Curt Teich & Co. Inc.,Chicago (Ill.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,,,,,,,Tourism,,,,Tourism,,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000031_0001,0012_003786_000031_0002,,"Greetings from Gatlinburg, Tenn. ""The Gateway to the Smokies"" (KG-19)",Unused postcard,"Gatlinburg is a recognized center for mountain crafts where you can see skilled artisans creating their handmade products. Located here is the Pi Beta Phi Settlement School which has done so much to revive original handicraft arts.  The historical drama ""Chucky Jack"" is presented nightly except Sunday from late June through August in the Hunter Hills Theatre, a spectacular open air amphitheatre.  Added to the already popular convention facilities, the city has provided a new modern $400,000 Civic Auditorium - seating 2000 with banquet facilities for 1001.",Unknown,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,Asheville Post Card Co.,Creator,,,,,Asheville Post Card Co.,Asheville (N.C.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,,,,,Pi Beta Phi Fraternity,,Tourism,,,,Tourism,,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000032_0001,0012_003786_000032_0002,,"The Town of Gatlinburg, Tennessee, in the foreground (317)",Unused postcard,,Unknown,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,Standard Souvenirs & Novelties Inc.,Creator,,,,,Standard Souvenirs & Novelties Inc.,Knoxville (Tenn.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,,,,,,,Tourism,,,,Tourism,,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000033_0001,0012_003786_000033_0002,,"Greetings from Gatlinburg, Tenn.",Unused Postcard,,Unknown,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,,,,,,,,,Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,,,,,,,Tourism,,,,Tourism,,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
